city_ascii,Defining Parameter,Date,AQI
Americus,Ozone,1997-08-17,35.57142857142857
Americus,Ozone,1997-08-24,49.857142857142854
Americus,Ozone,1997-08-31,116.42857142857143
Americus,Ozone,1997-09-07,51.57142857142857
Americus,Ozone,1997-09-14,68.28571428571429
Americus,Ozone,1997-09-21,116.14285714285714
Americus,Ozone,1997-09-28,31.0
Americus,Ozone,1997-10-05,50.857142857142854
Americus,Ozone,1997-10-12,43.142857142857146
Americus,Ozone,1997-10-19,25.428571428571427
Americus,Ozone,1997-10-26,34.57142857142857
Americus,Ozone,1997-11-02,25.0
Americus,Ozone,1998-04-05,46.6
Americus,Ozone,1998-04-12,48.57142857142857
Americus,Ozone,1998-04-19,45.42857142857143
Americus,Ozone,1998-04-26,68.71428571428571
Americus,Ozone,1998-05-03,44.142857142857146
Americus,Ozone,1998-05-10,58.142857142857146
Americus,Ozone,1998-05-17,101.85714285714286
Americus,Ozone,1998-05-24,85.14285714285714
Americus,Ozone,1998-05-31,39.142857142857146
Americus,Ozone,1998-06-07,43.714285714285715
Americus,Ozone,1998-06-14,44.142857142857146
Americus,Ozone,1998-06-21,49.285714285714285
Americus,Ozone,1998-06-28,78.0
Americus,Ozone,1998-07-05,58.714285714285715
Americus,Ozone,1998-07-12,80.28571428571429
Americus,Ozone,1998-07-19,42.857142857142854
Americus,Ozone,1998-07-26,40.142857142857146
Americus,Ozone,1998-08-02,44.42857142857143
Americus,Ozone,1998-08-09,60.42857142857143
Americus,Ozone,1998-08-16,43.857142857142854
Americus,Ozone,1998-08-23,48.142857142857146
Americus,Ozone,1998-08-30,102.42857142857143
Americus,Ozone,1998-09-06,49.833333333333336
Americus,Ozone,1998-09-13,48.42857142857143
Americus,Ozone,1998-09-20,27.428571428571427
Americus,Ozone,1998-09-27,30.142857142857142
Americus,Ozone,1998-10-04,29.714285714285715
Americus,Ozone,1998-10-11,34.0
Americus,Ozone,1998-10-18,64.71428571428571
Americus,Ozone,1998-10-25,37.142857142857146
Americus,Ozone,1998-11-01,67.5
Americus,Ozone,1999-04-04,39.75
Americus,Ozone,1999-04-11,43.142857142857146
Americus,Ozone,1999-04-18,71.14285714285714
Americus,Ozone,1999-04-25,60.285714285714285
Americus,Ozone,1999-05-02,49.142857142857146
Americus,Ozone,1999-05-09,81.14285714285714
Americus,Ozone,1999-05-16,70.57142857142857
Americus,Ozone,1999-05-23,87.57142857142857
Americus,Ozone,1999-05-30,82.28571428571429
Americus,Ozone,1999-06-06,62.142857142857146
Americus,Ozone,1999-06-13,55.714285714285715
Americus,Ozone,1999-06-20,58.714285714285715
Americus,Ozone,1999-06-27,33.285714285714285
Americus,Ozone,1999-07-04,25.857142857142858
Americus,Ozone,1999-07-11,35.857142857142854
Americus,Ozone,1999-07-18,31.857142857142858
Americus,Ozone,1999-07-25,59.0
Americus,Ozone,1999-08-01,116.14285714285714
Americus,Ozone,1999-08-08,117.66666666666667
Americus,Ozone,1999-08-15,81.8
Americus,Ozone,1999-08-22,57.57142857142857
Americus,Ozone,1999-08-29,66.14285714285714
Americus,Ozone,1999-09-05,106.28571428571429
Americus,Ozone,1999-09-12,99.4
Americus,Ozone,1999-09-19,78.71428571428571
Americus,Ozone,1999-09-26,46.857142857142854
Americus,Ozone,1999-10-03,32.285714285714285
Americus,Ozone,1999-10-10,36.0
Americus,Ozone,1999-10-17,33.57142857142857
Americus,Ozone,1999-10-24,36.857142857142854
Americus,Ozone,1999-10-31,59.142857142857146
Americus,Ozone,2000-03-05,49.4
Americus,Ozone,2000-03-12,62.57142857142857
Americus,Ozone,2000-03-19,45.285714285714285
Americus,Ozone,2000-03-26,49.57142857142857
Americus,Ozone,2000-04-02,46.714285714285715
Americus,Ozone,2000-04-09,47.57142857142857
Americus,Ozone,2000-04-16,47.142857142857146
Americus,Ozone,2000-04-23,61.285714285714285
Americus,Ozone,2000-04-30,71.71428571428571
Americus,Ozone,2000-05-07,78.42857142857143
Americus,Ozone,2000-05-14,58.42857142857143
Americus,Ozone,2000-05-21,90.42857142857143
Americus,Ozone,2000-05-28,40.714285714285715
Americus,Ozone,2000-06-04,85.42857142857143
Americus,Ozone,2000-06-11,81.71428571428571
Americus,Ozone,2000-06-18,36.42857142857143
Americus,Ozone,2000-06-25,52.285714285714285
Americus,Ozone,2000-07-02,58.142857142857146
Americus,Ozone,2000-07-09,89.42857142857143
Americus,Ozone,2000-07-16,65.57142857142857
Americus,Ozone,2000-07-23,106.57142857142857
Americus,Ozone,2000-07-30,48.857142857142854
Americus,Ozone,2000-08-06,42.142857142857146
Americus,Ozone,2000-08-13,63.142857142857146
Americus,Ozone,2000-08-20,136.85714285714286
Americus,Ozone,2000-08-27,74.0
Americus,Ozone,2000-09-03,58.285714285714285
Americus,Ozone,2000-09-10,28.428571428571427
Americus,Ozone,2000-09-17,64.14285714285714
Americus,Ozone,2000-09-24,25.428571428571427
Americus,Ozone,2000-10-01,37.714285714285715
Americus,Ozone,2000-10-08,38.0
Americus,Ozone,2000-10-15,65.57142857142857
Americus,Ozone,2000-10-22,89.71428571428571
Americus,Ozone,2000-10-29,82.0
Americus,Ozone,2000-11-05,81.5
Americus,Ozone,2001-03-04,31.5
Americus,Ozone,2001-03-11,49.714285714285715
Americus,Ozone,2001-03-18,42.285714285714285
Americus,Ozone,2001-03-25,52.42857142857143
Americus,Ozone,2001-04-01,41.714285714285715
Americus,Ozone,2001-04-08,50.714285714285715
Americus,Ozone,2001-04-15,42.0
Americus,Ozone,2001-04-22,70.42857142857143
Americus,Ozone,2001-04-29,90.28571428571429
Americus,Ozone,2001-05-06,74.28571428571429
Americus,Ozone,2001-05-13,72.85714285714286
Americus,Ozone,2001-05-20,107.28571428571429
Americus,Ozone,2001-05-27,75.85714285714286
Americus,Ozone,2001-06-03,66.71428571428571
Americus,Ozone,2001-06-10,27.666666666666668
Americus,Ozone,2001-06-17,41.0
Americus,Ozone,2001-06-24,61.42857142857143
Americus,Ozone,2001-07-01,62.142857142857146
Americus,Ozone,2001-07-08,56.714285714285715
Americus,Ozone,2001-07-15,94.42857142857143
Americus,Ozone,2001-07-22,76.0
Americus,Ozone,2001-07-29,32.142857142857146
Americus,Ozone,2001-08-05,44.57142857142857
Americus,Ozone,2001-08-12,30.857142857142858
Americus,Ozone,2001-08-19,40.714285714285715
Americus,Ozone,2001-08-26,102.57142857142857
Americus,Ozone,2001-09-02,40.57142857142857
Americus,Ozone,2001-09-09,32.142857142857146
Americus,Ozone,2001-09-16,35.857142857142854
Americus,Ozone,2001-09-23,46.0
Americus,Ozone,2001-09-30,43.0
Americus,Ozone,2001-10-07,46.0
Americus,Ozone,2001-10-14,34.142857142857146
Americus,Ozone,2001-10-21,39.0
Americus,Ozone,2001-10-28,31.714285714285715
Americus,Ozone,2001-11-04,42.0
Americus,Ozone,2002-03-03,37.666666666666664
Americus,Ozone,2002-03-10,42.285714285714285
